448123AZUL ROYAL     0007000000050000.00000.0 
448177GOIABA         0000000000000000.00000.0 
448202PRETO          0018000000420000.00000.0 
448216VERDE          0032000000200000.00000.0 
448217LARANJA        0008000000030000.00000.0 
448225AZUL MARINHO   0000000000000000.00000.0 
448312ROSA           0001000000010000.00000.0C
448316VERDE          0067000000020000.00000.0A
448319AZUL           0058000000000000.00000.0 
448373SALMAO         0007000000010000.00000.0C
448450JEANS CLARO    0024000000310000.00000.0 
448602PRETO          0001000000000000.00000.0 
448609AMARELO FLUOR  0008000000000000.00000.0C
448616VERDE          0004000000000000.00000.0 
448626AZUL TURQUESA  0063000000040000.00000.0 
448802PRETO          0017000000010000.00000.0A
448812ROSA           0000000000000000.00000.0 
448819AZUL           0010000000070000.00000.0 
448877GOIABA         0011000000100000.00000.0C
449816VERDE          0016000000220000.00000.0 
449818VERMELHO       0052000000080000.00000.0 
449825AZUL MARINHO   0069000200340000.00000.0 
450502PRETO          0143000000160000.00000.0 
450519AZUL           0000000000000000.00000.0 
450523AZUL ROYAL     0046000000120000.00000.0 
450529AZUL PETROLEO  0091000000060000.00000.0 
450721CINZA          0006000000150000.00000.0 
450723AZUL ROYAL     0008000000120000.00000.0 
452873SALMAO         0000000000000000.00000.0 
452876REVEILLON      0502000300420000.00000.0 
454701BRANCO         0302000000020000.00000.0A
454717LARANJA        0321000000010000.00000.0 
454721CINZA          0035000000000000.00000.0 
454745CHUMBO         0031000000000000.00000.0B
454776REVEILLON      0002000000010000.00000.0 
454912ROSA           0157000000000000.00000.0C
454916VERDE          1313000500130000.00000.0 
454919AZUL           1437000400200000.00000.0 
454939VERDE MUSGO CLA0000000000000000.00000.0 
455001BRANCO         0000000000000000.00000.0C
455002PRETO          0000000000000000.00000.0C
455003PRATA          0000000000010000.00000.0 
455005AMARELO        0000000000000000.00000.0C
455012ROSA           0000000000000000.00000.0 
455014LARANJA NEON   0071000000140000.00000.0 
455015AMARELO NEON   0034000000060000.00000.0 
455016VERDE          0000000000000000.00000.0A
455017LARANJA        0000000000000000.00000.0 
455018VERMELHO       0007000000160000.00000.0A
455019AZUL           0000000000000000.00000.0 
455022VERDE MUSGO    0000000000000000.00000.0 
455023AZUL ROYAL     0000000000000000.00000.0 
455025AZUL MARINHO   0093000200140000.00000.0A
455026AZUL TURQUESA  0012000000000000.00000.0 
455036VERDE BANDEIRA 0000000000000000.00000.0 
455054VERDE PASTEL   0011000000010000.00000.0 
455062ROXO           0068000000050000.00000.0 
455067MAGENTA        0000000000000000.00000.0 
455068AZUL CLARO     0113000100240000.00000.0A
456502PRETO          0067000000060000.00000.0 
456504BEGE           0000000000000000.00000.0 
456520MARROM         0058000000160000.00000.0 
456604BEGE           0039000000110000.00000.0 
456619AZUL           0034000000130000.00000.0 
457701BRANCO         0004000000000000.00000.0 
457702PRETO          0074000000000000.00000.0 
457719AZUL           0038000000050000.00000.0 
457777GOIABA         0004000000010000.00000.0 
457802PRETO          0056000000010000.00000.0 
457819AZUL           0004000000010000.00000.0 
457880ROSA FORTE     0010000000090000.00000.0 
457922VERDE MUSGO    0048000100220000.00000.0 
457966MOSTARDA       0030000000360000.00000.0 
458101BRANCO         0000000000000000.00000.0 
458102PRETO          0003000000000000.00000.0 
458103PRATA          0738000100170000.00000.0A
458116VERDE          0260000000000000.00000.0C
458127MARFIM         0513000200280000.00000.0A
458201BRANCO         0001000000000000.00000.0 
458202PRETO          0001000000000000.00000.0 
458216VERDE          0779000000100000.00000.0A
458227MARFIM         0708000200160000.00000.0A
458301BRANCO         0001000000000000.00000.0 
458316VERDE          0329000100310000.00000.0 
458327MARFIM         0294000200470000.00000.0 
458601BRANCO         0776000400280000.00000.0A
458602PRETO          0815000100400000.00000.0A
458603PRATA          0001000000000000.00000.0 
458636VERDE BANDEIRA 0000000000000000.00000.0 
458656AZUL PASTEL    0059000000000000.00000.0 
458701BRANCO         0659000000090000.00000.0A
458702PRETO          0750000300190000.00000.0A
458718VERMELHO       0073000000000000.00000.0C
459777GOIABA         0006000000210000.00000.0 
459901BRANCO         0071000000000000.00000.0 
459902PRETO          0476000000120000.00000.0A
459918VERMELHO       0504000100070000.00000.0A
459926AZUL TURQUESA  0021000000000000.00000.0 
460002PRETO          0521000000130000.00000.0 
460018VERMELHO       0213000000000000.00000.0 
460026AZUL TURQUESA  0019000000000000.00000.0 
460036VERDE BANDEIRA 0000000000000000.00000.0 
460056AZUL PASTEL    0277000100160000.00000.0 
460201BRANCO         0112000000010000.00000.0 
460202PRETO          0303000200420000.00000.0 
460217LARANJA        0094000000140000.00000.0 
460256AZUL PASTEL    0151000000130000.00000.0 
460812ROSA           0029000000060000.00000.0 
460816VERDE          0031000000010000.00000.0 
460867MAGENTA        0000000000000000.00000.0 
460901BRANCO         0000000000010000.00000.0 
460902PRETO          0077000000030000.00000.0 
460921CINZA          0030000000000000.00000.0 
460925AZUL MARINHO   0043000000050000.00000.0 
461102PRETO          0068000000070000.00000.0 
461104BEGE           0014000000000000.00000.0 
461116VERDE          0021000000010000.00000.0 
461125AZUL MARINHO   0044000000060000.00000.0 
461219AZUL           0051000000010000.00000.0 
461221CINZA          0143000000060000.00000.0 
461225AZUL MARINHO   0015000000150000.00000.0 
461232CRU            0114000100320000.00000.0 
461416VERDE          0040000000030000.00000.0 
461419AZUL           0044000000040000.00000.0C
461702PRETO          0628000900400000.00000.0 
461893LARANJA FLUOR  0028000000180000.00000.0 
